address,application_for,ballots_cast,ballots_in_favour,ballots_opposed,close_date,poll_result,response_rate_met,percent_in_favour
8 Brumell Ave,Front Yard Parking,18,16,1,2015-05-31,In Favour,Yes,88.88888888888889
90 Belsize Dr,Front Yard Parking,30,30,0,2015-06-03,In Favour,Yes,100
376 Roehampton Ave,Front Yard Parking,43,37,3,2015-06-11,In Favour,Yes,86.04651162790698
889 Queen St E,Boulevard Cafe,30,19,10,2015-06-05,In Favour,Yes,63.33333333333333
1747 Eglinton Ave W,Commercial Boulevard Parking,26,13,11,2015-06-09,Response Rate Not Met,No,50
24 Harlton Cres,Appeal - Front Yard Parking,35,29,1,2015-06-26,In Favour,Yes,82.85714285714286
291 Deloraine Ave,Front Yard Parking,48,44,3,2015-06-23,In Favour,Yes,91.66666666666666
353 St Germain Ave,Front Yard Parking,36,32,0,2015-06-18,In Favour,Yes,88.88888888888889
2152 Danforth Ave,Boulevard Cafe,3,0,3,2015-06-25,Response Rate Not Met,No,0
866 Bloor St W,Boulevard Cafe,1,1,0,2015-06-30,Response Rate Not Met,No,100
540 College St (former Toronto),Boulevard Cafe,31,18,11,2015-07-07,Response Rate Not Met,No,58.06451612903226
100 Sorauren Ave,Boulevard Cafe,27,21,1,2015-07-07,In Favour,Yes,77.77777777777779
355 Danforth Ave,Boulevard Cafe,30,23,1,2015-07-09,In Favour,Yes,76.66666666666667
538 Danforth Ave,Boulevard Cafe,50,45,3,2015-07-07,In Favour,Yes,90
536 Soudan Ave,Appeal - Front Yard Parking,25,23,0,2015-07-10,In Favour,Yes,92
128 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,29,11,16,2015-07-10,Opposed,Yes,37.93103448275862
132 Mortimer Ave,Appeal - Front Yard Parking,41,34,2,2015-07-14,In Favour,Yes,82.92682926829268
38 Henning Ave,Appeal - Front Yard Parking,41,37,1,2015-07-14,In Favour,Yes,90.2439024390244
481 Woburn Ave,Appeal - Front Yard Parking,31,21,4,2015-07-15,In Favour,Yes,67.74193548387096
45 Cranbrooke Ave,Appeal - Front Yard Parking,56,31,16,2015-07-15,In Favour,Yes,55.35714285714286
24 Ramsden Rd,Front Yard Parking,17,16,0,2015-07-24,In Favour,Yes,94.11764705882352
2002 Queen St E,Boulevard Cafe,26,10,8,2015-07-16,Opposed,Yes,38.46153846153847
1375 Dundas St W,Boulevard Cafe,35,32,1,2015-07-23,In Favour,Yes,91.42857142857143
105 Scarborough Rd,Appeal - Front Yard Parking,33,4,23,2015-07-29,Opposed,Yes,12.121212121212121
85 Astoria Ave,Appeal - Front Yard Parking,20,20,0,2015-07-25,In Favour,Yes,100
216 Scarborough Rd,Appeal - Front Yard Parking,47,33,5,2015-07-29,In Favour,Yes,70.2127659574468
212 Wineva Ave,Appeal - Front Yard Parking,48,32,10,2015-07-25,In Favour,Yes,66.66666666666666
482 Northcliffe Blvd,Appeal - Front Yard Parking,27,20,2,2015-07-29,In Favour,Yes,74.07407407407408
37 Cavendish St,Appeal - Front Yard Parking,24,20,2,2015-07-30,In Favour,Yes,83.33333333333334
226 Ava Rd,Appeal - Front Yard Parking,26,24,2,2015-08-01,In Favour,Yes,92.3076923076923
114 Foxwell St,Appeal - Front Yard Parking,48,45,2,2015-08-01,In Favour,Yes,93.75
170 Roe Ave,Front Yard Parking,29,20,2,2015-08-06,In Favour,Yes,68.96551724137932
1159 Davenport Rd,Boulevard Cafe,28,20,6,2015-08-06,In Favour,Yes,71.42857142857143
792 Queen St E,Boulevard Cafe,30,1,28,2015-08-07,Opposed,Yes,3.3333333333333335
88 Evans Ave (former Toronto),Appeal - Front Yard Parking,42,35,3,2015-08-08,In Favour,Yes,83.33333333333334
30 Flanders Rd,Appeal - Front Yard Parking,19,12,4,2015-08-12,In Favour,Yes,63.1578947368421
1366 Yonge St,Boulevard Cafe,104,57,38,2015-08-22,In Favour,Yes,54.807692307692314
90 Runnymede Rd,Front Yard Parking,54,46,4,2015-08-26,In Favour,Yes,85.18518518518519
1090 Bloor St W,Boulevard Cafe,21,14,7,2015-08-27,Response Rate Not Met,No,66.66666666666666
11 Lonsdale Rd,Front Yard Parking,22,14,7,2015-08-27,In Favour,Yes,63.63636363636363
9 Lonsdale Rd,Front Yard Parking,20,14,5,2015-08-26,In Favour,Yes,70
40 Rosethorn Ave,Appeal - Front Yard Parking,54,42,5,2015-08-29,In Favour,Yes,77.77777777777779
328 Runnymede Rd,Appeal - Front Yard Parking,68,48,12,2015-09-05,In Favour,Yes,70.58823529411765
16 Heddington Ave,Front Yard Parking,14,14,0,2015-09-05,In Favour,Yes,100
37 Castlefield Ave,Appeal - Front Yard Parking,45,30,15,2015-09-09,In Favour,Yes,66.66666666666666
269 Glebeholme Blvd,Appeal - Front Yard Parking,76,38,33,2015-09-12,Opposed,Yes,50
121 Craighurst Ave,Appeal - Front Yard Parking,60,58,0,2015-09-09,In Favour,Yes,96.66666666666667
36 Vaughan Rd,Boulevard Cafe,35,11,21,2015-09-23,Opposed,Yes,31.428571428571427
79 Ellerbeck St,Appeal - Front Yard Parking,51,30,14,2015-10-02,In Favour,Yes,58.82352941176471
366 Old Orchard Grv,Appeal - Front Yard Parking,54,48,2,2015-10-02,In Favour,Yes,88.88888888888889
153 Westwood Ave,Appeal - Front Yard Parking,15,13,0,2015-10-02,In Favour,Yes,86.66666666666667
38 Rambert Cres,Appeal - Front Yard Parking,27,26,0,2015-10-03,In Favour,Yes,96.29629629629629
24 Royal St,Appeal - Front Yard Parking,70,67,0,2015-10-02,In Favour,Yes,95.71428571428572
531 Northcliffe Blvd,Appeal - Front Yard Parking,38,29,8,2015-10-03,In Favour,Yes,76.31578947368422
193 Eastwood Rd,Appeal - Front Yard Parking,12,8,4,2015-10-03,In Favour,Yes,66.66666666666666
27 Strathearn Blvd,Front Yard Parking,24,15,6,2015-10-03,In Favour,Yes,62.5
38 Harwood Rd,Front Yard Parking,21,21,0,2015-10-08,In Favour,Yes,100
52 Bicknell Ave,Front Yard Parking,20,20,0,2015-10-08,In Favour,Yes,100
76 Alameda Ave,Front Yard Parking,24,19,1,2015-10-08,In Favour,Yes,79.16666666666666
351 Nairn Ave,Appeal - Front Yard Parking,25,23,0,2015-10-21,In Favour,Yes,92
263 Glenholme Ave,Front Yard Parking,23,20,0,2015-10-17,In Favour,Yes,86.95652173913044
216 Glenholme Ave,Appeal - Front Yard Parking,46,33,7,2015-10-22,In Favour,Yes,71.73913043478261
424 Millwood Rd,Front Yard Parking,45,45,0,2015-10-17,In Favour,Yes,100
329 St Clements Ave,Front Yard Parking,38,36,0,2015-10-29,In Favour,Yes,94.73684210526315
