OCCUPANCY_DATE,SERVICE_USER_COUNT,OCCUPANCY_RATE_BEDS,CAPACITY_ACTUAL_BED,PROGRAM_MODEL,SECTOR
2023-12-02,129,82.95339646283537,82,Transitional,Community
2022-02-05,150,80.85687779821455,76,Transitional,Education
2018-01-07,166,74.16166812181473,78,Transitional,Housing
2020-01-13,151,66.65498749352992,69,Emergency,Housing
2023-12-09,142,38.81711426656693,69,Emergency,Education
2019-03-14,132,50.85970007348806,59,Transitional,Community
2023-06-12,136,32.76873000431806,76,Emergency,Education
2022-10-10,173,84.95006535667926,75,Transitional,Education
2019-07-26,147,32.10969124920666,71,Transitional,Health
2021-04-16,143,85.13222543988377,84,Transitional,Housing
2020-10-20,136,20.655663590878248,61,Emergency,Education
2023-02-06,138,27.10002677049488,98,Emergency,Education
2023-07-30,144,93.08834867551923,73,Emergency,Community
2018-07-08,151,27.73993439041078,73,Emergency,Community
2023-08-31,140,80.68035519681871,68,Transitional,Housing
2018-05-24,153,51.43286264501512,82,Emergency,Community
2019-06-05,195,38.90253365971148,76,Emergency,Health
2018-08-22,153,98.99741017725319,76,Emergency,Education
2022-06-03,148,39.25061470363289,90,Transitional,Housing
2021-09-30,142,1.0273958323523402,72,Transitional,Health
2019-08-15,146,53.76433595083654,81,Transitional,Housing
2018-10-21,153,65.50558670423925,76,Transitional,Community
2018-11-25,160,70.47966867685318,96,Transitional,Education
2019-10-31,159,79.83112779911608,75,Emergency,Community
2023-03-10,139,58.69606325868517,74,Emergency,Community
2020-05-15,136,4.371119802817702,84,Transitional,Community
2019-02-26,161,9.737428091466427,93,Emergency,Community
2022-12-09,129,43.03959724493325,81,Emergency,Community
2019-04-12,160,42.81867942772806,73,Emergency,Education
2020-06-27,163,86.03804123122245,78,Transitional,Education
2022-01-31,150,19.256291072815657,85,Emergency,Community
2021-08-13,142,73.31031463108957,74,Transitional,Community
2023-06-04,144,26.55808108393103,78,Emergency,Education
2022-02-09,148,4.332043346948922,85,Transitional,Health
2023-08-17,147,58.8173589669168,72,Transitional,Health
2022-10-23,139,96.22987229377031,78,Transitional,Health
2018-05-17,156,43.83784004021436,71,Emergency,Education
2020-06-20,162,7.908121240325272,80,Transitional,Housing
2019-05-04,131,75.70335797499865,65,Emergency,Health
2018-02-21,158,65.57928679976612,88,Transitional,Health
2019-07-02,144,37.0043421164155,69,Transitional,Housing
2020-10-24,153,17.74104470387101,78,Transitional,Education
2019-10-18,167,88.30972807481885,85,Emergency,Education
2020-06-28,126,34.283367288298905,69,Emergency,Education
2023-06-27,131,27.763745398260653,81,Transitional,Education
2020-12-07,150,48.696461017243564,80,Transitional,Education
